cu,ru,mp,bl,cc,lt,ram,rm,emo,scr,jit,cf,dly,bw,cnl,mos
33.460825,81,2.56,46,1,47,460,1,3,4,3.325,1000,211.917,460,0,Good
18.15,77,2.55,23,8,49,1796,3,3,3,14.021,1300,183.331,530,0,Good
12.49,77,1.56,30,8,35,1796,3,3,3,37.183,1300,130.323,665,1,Good
38.399244,70,2.5,12,1,36,173,1,1,5,28.664,1008,455.003,332,1,Poor
20.15746,86,5.1,31,4,18,1861,3,3,3,35.247,1600,119.273,680,0,VeryGood
26.041424,86,2.5,28,4,62,1861,3,1,3,37.055,1600,339.041,318,1,Poor
9.23,79,3.9,36,4,44,1856,3,3,3,37.463,2265,377.967,289,1,Poor
34.580446,81,2.5,50,1,79,460,1,3,4,22.372,1000,323.627,317,1,Bad
15.432008,72,2.53,82,1,50,335,1,3,7,4.045,1024,361.682,365,0,Good
40.700432,84,2.4,19,1,45,173,1,2,5,19.302,1008,288.038,804,0,Good
39.361772,81,5.3,62,1,45,460,1,3,4,8.043,1000,110.737,599,0,Good
9.63,70,3.2,72,4,55,1856,3,3,3,26.898,2265,235.316,359,0,Good
70,84.477612,0.12,10,1,29,335,1,3,7,16.728,1024,147.734,1004,0,VeryGood
17.08508,85,3.5,20,8,33,1796,3,1,3,3.411,1300,125.092,1006,0,VeryGood
39,81.005587,5.1,43,2,42,716,1,3,6,80.361,1200,283.44,371,0,Good
38,80.586592,4.8,40,2,44,716,1,1,6,3.728,1200,16.329,721,0,Good
39,84.776536,0,38,2,27,716,1,1,6,4.728,1200,47.374,1152,0,VeryGood
7,60.27248,4.9,78,4,44,1835,3,3,2,3.118,1512,9.259,702,0,VeryGood
10,74.029851,5.3,2,1,48,335,1,3,7,22.809,1024,230.479,293,0,Poor
6,77.910448,0.29,3,1,31,335,1,3,7,43.756,1024,186.045,1146,0,Excellent
36,66.864224,0,89,4,28,1856,3,3,3,7.361,2265,128.091,1143,0,Excellent
36,65.922444,5.4,77,4,39,851,2,1,1,24.529,1190,110.477,678,1,Good
10,67.097532,5.2,72,4,40,851,2,4,1,41.725,1190,104.142,550,1,Good
31,70.204741,0.56,71,4,19,1856,3,4,3,14.448,2265,168.17,1102,0,Excellent
21.2541,67.510776,4.9,85,4,50,1856,3,4,3,32.302,2265,335.64,296,1,Poor
15,0.687078,0.4,58,4,18,851,2,3,1,3.854,1190,11.651,718,0,VeryGood
42,70.474138,0.58,75,4,42,1856,3,1,3,5.612,2265,245.847,707,0,VeryGood
15.05,67,0,62,4,21,851,2,3,1,12.388,1190,11.979,1149,0,Excellent
9,72.385429,0.55,73,4,45,851,2,2,1,35.23,1190,116.612,715,0,VeryGood
8,63.378747,0,67,4,12,1835,3,3,2,4.664,1512,9.223,1145,0,Excellent
20,63.59673,0.5,58,4,11,1835,3,3,2,5.095,1512,17.422,1140,0,Excellent
16.110001,69,5,62,4,28,851,2,3,1,22.634,1190,12.672,719,0,VeryGood
10,66.509988,5.3,76,4,45,851,2,1,1,16.912,1190,175.507,387,1,Good
